backend,eps,upsampfac,n_coils,shape,n_samples,dim,sense,task,run,run_time,mem_avg,mem_peak,cpu_avg,cpu_peak,gpu0_mem_GiB_avg,gpu0_mem_GiB_peak,gpu0_usage_avg,gpu0_usage_peak,coil_time,coil_mem
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,forward,0,189.699387147004,38.0856692258435,54.80218124389648,1515.5374570446736,1697.6,0.0,0.0,0.0,0.0,5.928105848343875,1.712568163871765
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,86.43265769099526,16.109075973282998,21.836963653564453,1509.9067164179105,1621.3,0.0,0.0,0.0,0.0,7.202721474249604,1.819746971130371
torchkbnufft-cpu,0.001,2.0,32,"(256, 256, 176)",6808935,3,False,adjoint,0,226.37598667400016,37.89304578690022,67.43756484985352,1235.1761171032358,1697.6,0.0,0.0,0.0,0.0,7.074249583562505,2.1074239015579224
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,245.1750087130058,17.259254729091435,27.031986236572266,1025.771959026889,1646.5,0.0,0.0,0.0,0.0,20.431250726083817,2.2526655197143555
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,167.4388814970007,16.38030717830465,24.355052947998047,1029.4315656565657,1613.5,0.0,0.0,0.0,0.0,13.953240124750058,2.029587745666504
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,forward,0,83.6312622599944,15.9944154886099,21.8374137878418,1489.946153846154,1613.5,0.0,0.0,0.0,0.0,6.969271854999533,1.81978448232015
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,grad,0,1992.75182351796,25.817303901635974,32.094112396240234,1019.9515103338632,1596.6,0.0,0.0,0.0,0.0,1992.75182351796,32.094112396240234
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,forward,0,748.0897007801104,24.006078196095896,26.66148376464844,1315.81707523246,1508.1,0.0,0.0,0.0,0.0,748.0897007801104,26.66148376464844
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,grad,0,250.4200397090026,17.418646851926106,27.625186920166016,1034.6648682559598,1628.6,0.0,0.0,0.0,0.0,20.86833664241688,2.3020989100138345
torchkbnufft-cpu,0.001,2.0,12,"(256, 256, 176)",6808935,3,False,adjoint,0,169.84115423099138,16.603026097363763,27.558544158935547,1035.384653465347,1621.3,0.0,0.0,0.0,0.0,14.153429519249281,2.2965453465779624
torchkbnufft-cpu,0.001,2.0,1,"(256, 256, 176)",136301568,3,False,adjoint,0,1241.5884073409252,25.501923195885038,31.069141387939453,1022.4863231552164,1596.6,0.0,0.0,0.0,0.0,1241.5884073409252,31.069141387939453
